Fingerprint,Timestamp,Type,Bandwidth (B/s),Coefficient of Variation
0147F80CD71BACAFAE92FCBCF48D8D1B6661B82C,2024-09-28 12:00:00,Write,616023.4844049353,0.45450749101667065
0147F80CD71BACAFAE92FCBCF48D8D1B6661B82C,2024-09-28 12:00:00,Read,1199508.9841027902,0.45450749101667065
014BD09636373B78CC28BA70E36C7190E3DE236A,2024-09-28 12:00:00,Write,873383.6387387387,0.0020403351239352847
014BD09636373B78CC28BA70E36C7190E3DE236A,2024-09-28 12:00:00,Read,875907.4018018019,0.0020403351239352847
014EE24BCBDA160F236B2547A4639B27E303A1E7,2024-09-28 12:00:00,Write,273484.4940487401,0.015373149026042476
014EE24BCBDA160F236B2547A4639B27E303A1E7,2024-09-28 12:00:00,Read,267602.6292415213,0.015373149026042476
0165267F20391424CE5AEA316A7C6372C0EEF198,2024-09-28 12:00:00,Write,25858941.45089772,0.015517583049255011
0165267F20391424CE5AEA316A7C6372C0EEF198,2024-09-28 12:00:00,Read,26432716.277538903,0.015517583049255011
016EF8E22BEEA81F30535974EC31B6943697CA8B,2024-09-28 12:00:00,Write,301162.8099822992,0.019331392084067107
016EF8E22BEEA81F30535974EC31B6943697CA8B,2024-09-28 12:00:00,Read,309510.3198794268,0.019331392084067107
0179DBC21B3ECB8784144D3DB0D8C65BA91D3C14,2024-09-28 12:00:00,Write,39478.67096835217,0.0947842582576154
0179DBC21B3ECB8784144D3DB0D8C65BA91D3C14,2024-09-28 12:00:00,Read,34519.145522294595,0.0947842582576154
017B08CC163424CD6ABA4ADD4042B4174D494732,2024-09-28 12:00:00,Write,23005279.333280757,0.001417766639998214
017B08CC163424CD6ABA4ADD4042B4174D494732,2024-09-28 12:00:00,Read,22959199.373175178,0.001417766639998214
019FEB22CE04CBD0489B7F24BE038518B64FA223,2024-09-28 12:00:00,Write,3997227.3739508996,0.09014539533836924
019FEB22CE04CBD0489B7F24BE038518B64FA223,2024-09-28 12:00:00,Read,4541506.9674844025,0.09014539533836924
